county,date,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered
Nevada County ,7/21/2020,70,,,,
Orange County,7/21/2020,666,557,78,78,
Placer County,7/21/2020,77,41,12,12,
Plumas County,7/21/2020,,,,,
Riverside County,7/21/2020,331,331,15,15,
Sacramento County,7/21/2020,525,492,63,63,
San Benito County,7/21/2020,23,23,,,
San Bernardino County,7/21/2020,50,37,20,,20
San Diego County,7/21/2020,1606,216,44,44,
San Francisco,7/21/2020,2407,1901,91,91,
San Joaquin County,7/21/2020,73,66,,,
San Luis Obispo County,7/21/2020,155,,14,14,
San Mateo County,7/21/2020,162,162,,,
Santa Barbara County,7/21/2020,133,113,,,
Santa Clara County,7/21/2020,674,456,105,81,
Santa Cruz County,7/21/2020,149,134,35,,12
Shasta County,7/21/2020,97,97,,,
Sierra County,7/21/2020,,,,,
Siskiyou County,7/21/2020,,,,,
Solano County,7/21/2020,217,135,,,
Sonoma County,7/21/2020,77,77,24,24,
Stanislaus County,7/21/2020,131,109,,,
Sutter County,7/21/2020,21,21,,,
Tehama County,7/21/2020,,,,,
Trinity County,7/21/2020,,,,,
Tulare County,7/21/2020,113,71,,,
Tuolumne County,7/21/2020,50,34,,,
Ventura County,7/21/2020,331,130,,,
Yolo County,7/21/2020,167,119,,,
Yuba County,7/21/2020,,,,,
Wilton Rancheria Tribe,7/21/2020,,,,,
Bishop Paiute Tribal Council,7/21/2020,,,,,
Alameda County,7/22/2020,652,510,91,91,
Alpine County,7/22/2020,,,,,
Amador County,7/22/2020,,,,,
Butte County,7/22/2020,128,128,,,
Calaveras County,7/22/2020,31,19,,,
Colusa County,7/22/2020,,,,,
Contra Costa County,7/22/2020,566,463,,,
Del Norte County,7/22/2020,28,28,,,
El Dorado County,7/22/2020,46,38,,,
Fresno County,7/22/2020,305,250,28,28,
Glenn County,7/22/2020,,,,,
Humboldt County,7/22/2020,74,49,15,,
Imperial County,7/22/2020,126,122,37,,
Inyo County,7/22/2020,,,,,
Kern County,7/22/2020,23,23,15,15,
Kings County,7/22/2020,44,44,,,
Lake County,7/22/2020,,,,,
Lassen County,7/22/2020,,,,,
Los Angeles County,7/22/2020,4386,3641,651,651,
Madera County ,7/22/2020,17,17,,,
Marin County ,7/22/2020,177,120,44,,
Mariposa County,7/22/2020,44,,,,
Mendocino County,7/22/2020,92,48,,,
Merced County,7/22/2020,124,35,,,
Modoc County,7/22/2020,,,,,
Mono County,7/22/2020,,,,,
Monterey County,7/22/2020,105,102,108,15,
Napa County ,7/22/2020,96,96,18,12,
Nevada County ,7/22/2020,70,,,,
Orange County,7/22/2020,666,556,78,78,
Placer County,7/22/2020,77,41,12,12,
Plumas County,7/22/2020,,,,,
Riverside County,7/22/2020,332,332,15,15,
Sacramento County,7/22/2020,525,492,63,63,
San Benito County,7/22/2020,23,23,,,
San Bernardino County,7/22/2020,50,37,20,,20
San Diego County,7/22/2020,1197,204,44,44,
San Francisco,7/22/2020,2468,1889,91,91,
San Joaquin County,7/22/2020,73,66,,,
San Luis Obispo County,7/22/2020,155,,14,14,
San Mateo County,7/22/2020,162,162,,,
Santa Barbara County,7/22/2020,133,116,,,
Santa Clara County,7/22/2020,674,456,105,81,
Santa Cruz County,7/22/2020,149,136,35,,12
Shasta County,7/22/2020,97,97,,,
Sierra County,7/22/2020,,,,,
Siskiyou County,7/22/2020,,,,,
Solano County,7/22/2020,214,139,,,
Sonoma County,7/22/2020,77,77,24,24,
Stanislaus County,7/22/2020,131,108,,,
Sutter County,7/22/2020,21,21,,,
Tehama County,7/22/2020,,,,,
Trinity County,7/22/2020,,,,,
Tulare County,7/22/2020,113,71,,,
Tuolumne County,7/22/2020,50,34,,,
Ventura County,7/22/2020,331,123,,,
Yolo County,7/22/2020,167,121,,,
Yuba County,7/22/2020,,,,,
Wilton Rancheria Tribe,7/22/2020,,,,,
Bishop Paiute Tribal Council,7/22/2020,,,,,
Alameda County,7/23/2020,693,513,91,91,
Alpine County,7/23/2020,,,,,
Amador County,7/23/2020,,,,,
Butte County,7/23/2020,128,128,,,
Calaveras County,7/23/2020,31,19,,,
Colusa County,7/23/2020,,,,,
Contra Costa County,7/23/2020,566,460,,,
Del Norte County,7/23/2020,28,28,,,
El Dorado County,7/23/2020,46,38,,,
Fresno County,7/23/2020,305,250,28,28,
Glenn County,7/23/2020,,,,,
Humboldt County,7/23/2020,74,49,15,,
Imperial County,7/23/2020,126,121,37,,
Inyo County,7/23/2020,,,,,
Kern County,7/23/2020,24,24,15,15,
Kings County,7/23/2020,44,44,,,
Lake County,7/23/2020,,,,,
Lassen County,7/23/2020,,,,,
Los Angeles County,7/23/2020,4386,3684,651,651,
Madera County ,7/23/2020,17,17,,,
Marin County ,7/23/2020,177,118,44,,
Mariposa County,7/23/2020,44,,,,
Mendocino County,7/23/2020,92,48,,,
Merced County,7/23/2020,124,35,,,
Modoc County,7/23/2020,,,,,
Mono County,7/23/2020,,,,,
Monterey County,7/23/2020,105,102,108,15,
Napa County ,7/23/2020,96,96,18,12,
Nevada County ,7/23/2020,70,,,,
Orange County,7/23/2020,666,531,78,78,
Placer County,7/23/2020,77,40,12,12,
Plumas County,7/23/2020,,,,,
Riverside County,7/23/2020,330,330,15,15,
Sacramento County,7/23/2020,525,492,63,63,
San Benito County,7/23/2020,23,23,,,
San Bernardino County,7/23/2020,50,37,20,,20
San Diego County,7/23/2020,1197,201,44,44,
San Francisco,7/23/2020,2468,1881,91,91,
San Joaquin County,7/23/2020,73,66,,,
San Luis Obispo County,7/23/2020,155,,14,14,
San Mateo County,7/23/2020,163,163,,,
Santa Barbara County,7/23/2020,133,117,,,
Santa Clara County,7/23/2020,674,456,105,81,
Santa Cruz County,7/23/2020,149,136,35,,12
Shasta County,7/23/2020,97,97,,,
Sierra County,7/23/2020,,,,,
Siskiyou County,7/23/2020,,,,,
Solano County,7/23/2020,216,129,,,
Sonoma County,7/23/2020,77,77,24,24,
Stanislaus County,7/23/2020,131,108,,,
Sutter County,7/23/2020,21,21,,,
Tehama County,7/23/2020,,,,,
Trinity County,7/23/2020,,,,,
Tulare County,7/23/2020,113,71,,,
Tuolumne County,7/23/2020,50,34,,,
Ventura County,7/23/2020,331,124,,,
Yolo County,7/23/2020,167,121,,,
Yuba County,7/23/2020,,,,,
Wilton Rancheria Tribe,7/23/2020,,,,,
Bishop Paiute Tribal Council,7/23/2020,,,,,
Alameda County,7/24/2020,693,509,91,91,
Alpine County,7/24/2020,,,,,
Amador County,7/24/2020,,,,,
Butte County,7/24/2020,129,129,,,
Calaveras County,7/24/2020,31,19,,,
Colusa County,7/24/2020,,,,,
Contra Costa County,7/24/2020,566,462,,,
Del Norte County,7/24/2020,28,28,,,
El Dorado County,7/24/2020,46,38,,,
Fresno County,7/24/2020,305,250,28,28,
Glenn County,7/24/2020,,,,,
Humboldt County,7/24/2020,74,49,15,,
Imperial County,7/24/2020,126,121,37,,
Inyo County,7/24/2020,,,,,
Kern County,7/24/2020,23,23,15,15,
Kings County,7/24/2020,44,44,,,
Lake County,7/24/2020,,,,,
Lassen County,7/24/2020,,,,,
Los Angeles County,7/24/2020,4483,3702,651,651,
Madera County ,7/24/2020,17,17,,,
Marin County ,7/24/2020,177,111,44,,
Mariposa County,7/24/2020,44,,,,
Mendocino County,7/24/2020,92,48,,,
Merced County,7/24/2020,124,35,,,
Modoc County,7/24/2020,,,,,
Mono County,7/24/2020,,,,,
Monterey County,7/24/2020,127,113,108,15,
Napa County ,7/24/2020,96,96,18,12,
Nevada County ,7/24/2020,70,,,,
Orange County,7/24/2020,666,528,78,78,
Placer County,7/24/2020,77,40,12,12,
Plumas County,7/24/2020,,,,,
Riverside County,7/24/2020,329,329,15,15,
Sacramento County,7/24/2020,525,503,63,63,
San Benito County,7/24/2020,23,23,,,
San Bernardino County,7/24/2020,50,37,20,,20
San Diego County,7/24/2020,1197,198,44,44,
San Francisco,7/24/2020,2468,1888,91,91,
San Joaquin County,7/24/2020,73,68,,,
San Luis Obispo County,7/24/2020,155,,14,14,
San Mateo County,7/24/2020,167,167,,,
Santa Barbara County,7/24/2020,133,115,,,
Santa Clara County,7/24/2020,674,456,105,81,
Santa Cruz County,7/24/2020,149,137,35,,12
Shasta County,7/24/2020,97,97,,,
Sierra County,7/24/2020,,,,,
Siskiyou County,7/24/2020,,,,,
Solano County,7/24/2020,216,132,,,
Sonoma County,7/24/2020,77,77,24,24,
Stanislaus County,7/24/2020,129,105,,,
Sutter County,7/24/2020,21,21,,,
Tehama County,7/24/2020,,,,,
Trinity County,7/24/2020,,,,,
Tulare County,7/24/2020,113,71,,,
Tuolumne County,7/24/2020,50,34,,,
Ventura County,7/24/2020,331,124,,,
Yolo County,7/24/2020,167,123,,,
Yuba County,7/24/2020,,,,,
Wilton Rancheria Tribe,7/24/2020,,,,,
Bishop Paiute Tribal Council,7/24/2020,,,,,
Alameda County,7/27/2020,693,509,91,91,
Alpine County,7/27/2020,,,,,
Amador County,7/27/2020,,,,,
Butte County,7/27/2020,131,131,,,
Calaveras County,7/27/2020,31,19,,,
Colusa County,7/27/2020,,,,,
Contra Costa County,7/27/2020,566,469,,,
Del Norte County,7/27/2020,28,28,,,
El Dorado County,7/27/2020,46,38,,,
Fresno County,7/27/2020,366,350,28,28,
Glenn County,7/27/2020,,,,,
Humboldt County,7/27/2020,74,49,15,,
Imperial County,7/27/2020,126,121,80,79,
Inyo County,7/27/2020,,,,,
Kern County,7/27/2020,24,24,15,15,
Kings County,7/27/2020,44,44,,,
Lake County,7/27/2020,,,,,
Lassen County,7/27/2020,,,,,
Los Angeles County,7/27/2020,4483,3716,651,651,
Madera County ,7/27/2020,17,17,,,
Marin County ,7/27/2020,177,111,44,,
Mariposa County,7/27/2020,44,,,,
Mendocino County,7/27/2020,92,48,,,
Merced County,7/27/2020,124,35,,,
Modoc County,7/27/2020,,,,,
Mono County,7/27/2020,,,,,
Monterey County,7/27/2020,126,109,108,15,
Napa County ,7/27/2020,96,96,18,12,
Nevada County ,7/27/2020,70,,,,
Orange County,7/27/2020,666,575,78,78,
Placer County,7/27/2020,77,40,12,12,
Plumas County,7/27/2020,,,,,
Riverside County,7/27/2020,329,329,15,15,
Sacramento County,7/27/2020,529,507,63,63,
San Benito County,7/27/2020,23,23,,,
San Bernardino County,7/27/2020,50,37,20,,20
San Diego County,7/27/2020,1197,203,44,44,
San Francisco,7/27/2020,2468,1900,91,91,
San Joaquin County,7/27/2020,73,67,,,
San Luis Obispo County,7/27/2020,155,,14,14,
San Mateo County,7/27/2020,166,166,,,
Santa Barbara County,7/27/2020,148,117,,,
Santa Clara County,7/27/2020,674,456,105,12,
Santa Cruz County,7/27/2020,149,136,35,,12
Shasta County,7/27/2020,97,97,,,
Sierra County,7/27/2020,,,,,
Siskiyou County,7/27/2020,,,,,
Solano County,7/27/2020,216,132,,,
Sonoma County,7/27/2020,77,77,24,24,
Stanislaus County,7/27/2020,129,105,,,
Sutter County,7/27/2020,21,21,,,
Tehama County,7/27/2020,,,,,
Trinity County,7/27/2020,,,,,
Tulare County,7/27/2020,113,71,,,
Tuolumne County,7/27/2020,50,34,,,
Ventura County,7/27/2020,331,124,,,
Yolo County,7/27/2020,167,123,,,
Yuba County,7/27/2020,,,,,
Wilton Rancheria Tribe,7/27/2020,,,,,
Bishop Paiute Tribal Council,7/27/2020,,,,,
Alameda County,7/28/2020,693,499,91,91,
Alpine County,7/28/2020,,,,,
Amador County,7/28/2020,,,,,
Butte County,7/28/2020,131,131,,,
Calaveras County,7/28/2020,31,19,,,
Colusa County,7/28/2020,,,,,
Contra Costa County,7/28/2020,566,475,,,
Del Norte County,7/28/2020,28,28,,,
El Dorado County,7/28/2020,46,38,,,
Fresno County,7/28/2020,366,350,28,28,
Glenn County,7/28/2020,,,,,
Humboldt County,7/28/2020,74,49,15,,
Imperial County,7/28/2020,126,121,80,79,
Inyo County,7/28/2020,,,,,
Kern County,7/28/2020,24,24,15,15,
Kings County,7/28/2020,44,44,,,
Lake County,7/28/2020,,,,,
Lassen County,7/28/2020,,,,,
Los Angeles County,7/28/2020,4482,3722,651,651,
Madera County ,7/28/2020,17,17,,,
Marin County ,7/28/2020,177,110,44,,
Mariposa County,7/28/2020,44,,,,
Mendocino County,7/28/2020,92,48,,,
Merced County,7/28/2020,124,35,,,
Modoc County,7/28/2020,,,,,
Mono County,7/28/2020,,,,,
Monterey County,7/28/2020,126,106,108,15,
Napa County ,7/28/2020,96,96,18,12,
Nevada County ,7/28/2020,70,,,,
Orange County,7/28/2020,666,575,78,78,
Placer County,7/28/2020,77,40,12,12,
Plumas County,7/28/2020,,,,,
Riverside County,7/28/2020,329,329,15,15,
Sacramento County,7/28/2020,525,503,63,63,
San Benito County,7/28/2020,23,23,,,
San Bernardino County,7/28/2020,50,37,20,,20
San Diego County,7/28/2020,1197,189,44,44,
San Francisco,7/28/2020,2614,1901,91,91,
San Joaquin County,7/28/2020,73,63,,,
San Luis Obispo County,7/28/2020,155,,14,14,
San Mateo County,7/28/2020,169,169,,,
Santa Barbara County,7/28/2020,148,121,,,
Santa Clara County,7/28/2020,674,456,105,12,
Santa Cruz County,7/28/2020,149,135,35,,12
Shasta County,7/28/2020,97,97,,,
Sierra County,7/28/2020,,,,,
Siskiyou County,7/28/2020,,,,,
Solano County,7/28/2020,216,132,,,
Sonoma County,7/28/2020,77,77,24,24,
Stanislaus County,7/28/2020,127,103,,,
Sutter County,7/28/2020,21,21,,,
Tehama County,7/28/2020,,,,,
Trinity County,7/28/2020,,,,,
Tulare County,7/28/2020,113,71,,,
Tuolumne County,7/28/2020,50,34,,,
Ventura County,7/28/2020,331,124,,,
Yolo County,7/28/2020,167,126,,,
Yuba County,7/28/2020,,,,,
Wilton Rancheria Tribe,7/28/2020,,,,,
Bishop Paiute Tribal Council,7/28/2020,,,,,
Alameda County,7/29/2020,693,503,91,91,
Alpine County,7/29/2020,,,,,
Amador County,7/29/2020,,,,,
Butte County,7/29/2020,129,129,,,
Calaveras County,7/29/2020,31,19,,,
Colusa County,7/29/2020,,,,,
Contra Costa County,7/29/2020,566,473,,,
Del Norte County,7/29/2020,28,28,,,
El Dorado County,7/29/2020,46,38,,,
Fresno County,7/29/2020,366,350,28,28,
Glenn County,7/29/2020,,,,,
Humboldt County,7/29/2020,74,49,15,,
Imperial County,7/29/2020,126,120,80,79,
Inyo County,7/29/2020,,,,,
Kern County,7/29/2020,24,24,15,15,
Kings County,7/29/2020,44,44,,,
Lake County,7/29/2020,,,,,
Lassen County,7/29/2020,,,,,
Los Angeles County,7/29/2020,4484,3753,651,651,
Madera County ,7/29/2020,17,17,,,
Marin County ,7/29/2020,177,110,44,,
Mariposa County,7/29/2020,44,,,,
Mendocino County,7/29/2020,92,48,,,
Merced County,7/29/2020,124,35,,,
Modoc County,7/29/2020,,,,,
Mono County,7/29/2020,,,,,
Monterey County,7/29/2020,126,103,108,15,
Napa County ,7/29/2020,111,99,18,12,
Nevada County ,7/29/2020,70,,,,
Orange County,7/29/2020,666,571,78,78,
Placer County,7/29/2020,77,40,12,12,
Plumas County,7/29/2020,,,,,
Riverside County,7/29/2020,329,329,15,15,
Sacramento County,7/29/2020,525,503,63,63,
San Benito County,7/29/2020,23,23,,,
San Bernardino County,7/29/2020,50,37,20,,20
San Diego County,7/29/2020,1197,188,44,44,
San Francisco,7/29/2020,2614,1899,91,91,
San Joaquin County,7/29/2020,73,66,,,
San Luis Obispo County,7/29/2020,155,,14,14,
San Mateo County,7/29/2020,165,165,,,
Santa Barbara County,7/29/2020,148,116,,,
Santa Clara County,7/29/2020,674,456,105,12,
Santa Cruz County,7/29/2020,149,134,35,,12
Shasta County,7/29/2020,97,97,,,
Sierra County,7/29/2020,,,,,
Siskiyou County,7/29/2020,,,,,
Solano County,7/29/2020,216,96,,,
Sonoma County,7/29/2020,77,77,24,24,
Stanislaus County,7/29/2020,127,103,,,
Sutter County,7/29/2020,21,21,,,
Tehama County,7/29/2020,,,,,
Trinity County,7/29/2020,,,,,
Tulare County,7/29/2020,113,71,,,
Tuolumne County,7/29/2020,50,34,,,
Ventura County,7/29/2020,331,124,,,
Yolo County,7/29/2020,167,126,,,
Yuba County,7/29/2020,,,,,
Wilton Rancheria Tribe,7/29/2020,,,,,
Bishop Paiute Tribal Council,7/29/2020,,,,,
Alameda County,7/30/2020,693,521,91,91,
Alpine County,7/30/2020,,,,,
Amador County,7/30/2020,,,,,
Butte County,7/30/2020,129,129,,,
Calaveras County,7/30/2020,31,19,,,
Colusa County,7/30/2020,,,,,
Contra Costa County,7/30/2020,566,469,,,
Del Norte County,7/30/2020,28,28,,,
El Dorado County,7/30/2020,46,38,,,
Fresno County,7/30/2020,366,350,28,28,
Glenn County,7/30/2020,,,,,
Humboldt County,7/30/2020,74,49,15,,
Imperial County,7/30/2020,126,120,80,79,
Inyo County,7/30/2020,,,,,
Kern County,7/30/2020,24,24,15,15,
Kings County,7/30/2020,44,44,,,
Lake County,7/30/2020,,,,,
Lassen County,7/30/2020,,,,,
Los Angeles County,7/30/2020,4484,3805,651,651,
Madera County ,7/30/2020,17,17,,,
Marin County ,7/30/2020,177,108,44,,
Mariposa County,7/30/2020,44,,,,
Mendocino County,7/30/2020,113,49,,,
Merced County,7/30/2020,124,35,,,
Modoc County,7/30/2020,,,,,
Mono County,7/30/2020,,,,,
Monterey County,7/30/2020,127,102,108,15,
Napa County ,7/30/2020,111,99,18,12,
Nevada County ,7/30/2020,70,,,,
Orange County,7/30/2020,666,568,78,78,
Placer County,7/30/2020,77,40,12,12,
Plumas County,7/30/2020,,,,,
Riverside County,7/30/2020,326,326,15,15,
Sacramento County,7/30/2020,525,503,63,63,
San Benito County,7/30/2020,23,23,,,
San Bernardino County,7/30/2020,427,427,20,,20
San Diego County,7/30/2020,1197,181,44,44,
San Francisco,7/30/2020,2614,1895,91,91,
San Joaquin County,7/30/2020,73,66,,,
San Luis Obispo County,7/30/2020,155,,14,14,
San Mateo County,7/30/2020,166,166,,,
Santa Barbara County,7/30/2020,148,115,,,
Santa Clara County,7/30/2020,674,456,105,12,
Santa Cruz County,7/30/2020,149,136,35,,12
Shasta County,7/30/2020,97,97,,,
Sierra County,7/30/2020,,,,,
Siskiyou County,7/30/2020,,,,,
Solano County,7/30/2020,216,113,,,
Sonoma County,7/30/2020,77,77,24,24,
Stanislaus County,7/30/2020,127,103,,,
Sutter County,7/30/2020,21,21,,,
Tehama County,7/30/2020,,,,,
Trinity County,7/30/2020,,,,,
Tulare County,7/30/2020,113,70,,,
Tuolumne County,7/30/2020,50,34,,,
Ventura County,7/30/2020,331,142,,,
Yolo County,7/30/2020,167,126,,,
Yuba County,7/30/2020,,,,,
Wilton Rancheria Tribe,7/30/2020,,,,,
Bishop Paiute Tribal Council,7/30/2020,,,,,
Alameda County,7/31/2020,693,521,91,91,
Alpine County,7/31/2020,,,,,
Amador County,7/31/2020,,,,,
Butte County,7/31/2020,129,129,,,
Calaveras County,7/31/2020,31,19,,,
Colusa County,7/31/2020,,,,,
Contra Costa County,7/31/2020,566,469,,,
Del Norte County,7/31/2020,28,28,,,
El Dorado County,7/31/2020,46,38,,,
Fresno County,7/31/2020,366,350,28,28,
Glenn County,7/31/2020,,,,,
Humboldt County,7/31/2020,74,49,15,,
Imperial County,7/31/2020,126,120,80,79,
Inyo County,7/31/2020,,,,,
Kern County,7/31/2020,22,22,15,15,
Kings County,7/31/2020,44,44,,,
Lake County,7/31/2020,,,,,
Lassen County,7/31/2020,,,,,
Los Angeles County,7/31/2020,4484,3822,651,651,
Madera County ,7/31/2020,17,17,,,
Marin County ,7/31/2020,177,108,44,,
Mariposa County,7/31/2020,44,,,,
Mendocino County,7/31/2020,120,47,,,
Merced County,7/31/2020,124,35,,,
Modoc County,7/31/2020,,,,,
Mono County,7/31/2020,,,,,
Monterey County,7/31/2020,127,102,108,15,
Napa County ,7/31/2020,111,99,18,12,
Nevada County ,7/31/2020,70,,,,
Orange County,7/31/2020,666,569,78,78,
Placer County,7/31/2020,77,40,12,12,
Plumas County,7/31/2020,,,,,
Riverside County,7/31/2020,331,331,15,15,
Sacramento County,7/31/2020,525,503,63,63,
San Benito County,7/31/2020,23,23,,,
San Bernardino County,7/31/2020,427,427,20,,20
San Diego County,7/31/2020,1197,182,44,44,
San Francisco,7/31/2020,2614,1895,91,91,
San Joaquin County,7/31/2020,73,68,,,
San Luis Obispo County,7/31/2020,155,,14,14,
San Mateo County,7/31/2020,164,164,,,
Santa Barbara County,7/31/2020,148,115,,,
Santa Clara County,7/31/2020,674,456,105,12,
Santa Cruz County,7/31/2020,149,134,35,,12
Shasta County,7/31/2020,97,97,,,
Sierra County,7/31/2020,,,,,
Siskiyou County,7/31/2020,,,,,
Solano County,7/31/2020,216,115,,,
Sonoma County,7/31/2020,77,77,24,24,
Stanislaus County,7/31/2020,130,105,,,
Sutter County,7/31/2020,14,14,,,
Tehama County,7/31/2020,,,,,
Trinity County,7/31/2020,,,,,
Tulare County,7/31/2020,113,70,,,
Tuolumne County,7/31/2020,50,34,,,
Ventura County,7/31/2020,331,147,,,
Yolo County,7/31/2020,167,124,,,
Yuba County,7/31/2020,,,,,
Wilton Rancheria Tribe,7/31/2020,,,,,
Bishop Paiute Tribal Council,7/31/2020,,,,,
Alameda County,8/3/2020,833,521,91,91,
Alpine County,8/3/2020,,,,,
Amador County,8/3/2020,,,,,
Butte County,8/3/2020,129,129,,,
Calaveras County,8/3/2020,31,19,,,
Colusa County,8/3/2020,,,,,
Contra Costa County,8/3/2020,566,465,,,
Del Norte County,8/3/2020,28,28,,,
El Dorado County,8/3/2020,46,38,,,
Fresno County,8/3/2020,367,353,28,28,
Glenn County,8/3/2020,,,,,
Humboldt County,8/3/2020,74,49,15,,
Imperial County,8/3/2020,126,120,80,79,
Inyo County,8/3/2020,,,,,
Kern County,8/3/2020,24,22,15,15,
Kings County,8/3/2020,44,44,,,
Lake County,8/3/2020,,,,,
Lassen County,8/3/2020,,,,,
Los Angeles County,8/3/2020,4483,3840,651,651,
Madera County ,8/3/2020,17,17,,,
Marin County ,8/3/2020,182,109,44,,
Mariposa County,8/3/2020,44,,,,
Mendocino County,8/3/2020,120,47,,,
Merced County,8/3/2020,124,35,,,
Modoc County,8/3/2020,,,,,
Mono County,8/3/2020,,,,,
Monterey County,8/3/2020,124,98,108,15,
Napa County ,8/3/2020,111,99,18,12,
Nevada County ,8/3/2020,70,,,,
Orange County,8/3/2020,692,578,78,78,
Placer County,8/3/2020,77,40,12,12,
Plumas County,8/3/2020,,,,,
Riverside County,8/3/2020,337,337,15,15,
Sacramento County,8/3/2020,525,503,63,63,
San Benito County,8/3/2020,23,23,,,
San Bernardino County,8/3/2020,427,427,20,,20
San Diego County,8/3/2020,1197,175,44,44,
San Francisco,8/3/2020,2614,1876,91,91,
San Joaquin County,8/3/2020,73,67,,,
San Luis Obispo County,8/3/2020,155,,14,14,
San Mateo County,8/3/2020,161,161,,,
Santa Barbara County,8/3/2020,148,116,,,
Santa Clara County,8/3/2020,674,456,105,12,
Santa Cruz County,8/3/2020,149,134,35,,12
Shasta County,8/3/2020,97,97,,,
Sierra County,8/3/2020,,,,,
Siskiyou County,8/3/2020,,,,,
Solano County,8/3/2020,216,117,,,
Sonoma County,8/3/2020,77,77,24,24,
Stanislaus County,8/3/2020,130,106,,,
Sutter County,8/3/2020,17,17,,,
Tehama County,8/3/2020,,,,,
Trinity County,8/3/2020,,,,,
Tulare County,8/3/2020,113,70,,,
Tuolumne County,8/3/2020,21,21,,,
Ventura County,8/3/2020,331,147,,,
Yolo County,8/3/2020,167,124,,,
Yuba County,8/3/2020,,,,,
Wilton Rancheria Tribe,8/3/2020,,,,,
Bishop Paiute Tribal Council,8/3/2020,,,,,
Alameda County,8/4/2020,833,511,91,91,
Alpine County,8/4/2020,,,,,
Amador County,8/4/2020,,,,,
Butte County,8/4/2020,129,129,,,
Calaveras County,8/4/2020,31,19,,,
Colusa County,8/4/2020,,,,,
Contra Costa County,8/4/2020,566,465,,,
Del Norte County,8/4/2020,28,28,,,
El Dorado County,8/4/2020,46,38,,,
Fresno County,8/4/2020,367,353,28,28,
Glenn County,8/4/2020,,,,,
Humboldt County,8/4/2020,74,49,15,,
Imperial County,8/4/2020,126,121,80,79,
Inyo County,8/4/2020,,,,,
Kern County,8/4/2020,21,21,15,15,
Kings County,8/4/2020,44,44,,,
Lake County,8/4/2020,,,,,
Lassen County,8/4/2020,,,,,
Los Angeles County,8/4/2020,4484,3817,651,651,
Madera County ,8/4/2020,17,17,,,
Marin County ,8/4/2020,182,108,44,,
Mariposa County,8/4/2020,44,,,,
Mendocino County,8/4/2020,120,47,,,
Merced County,8/4/2020,124,35,,,
Modoc County,8/4/2020,,,,,
Mono County,8/4/2020,,,,,
Monterey County,8/4/2020,124,97,108,15,
Napa County ,8/4/2020,111,99,18,12,
Nevada County ,8/4/2020,70,,,,
Orange County,8/4/2020,692,578,78,78,
Placer County,8/4/2020,77,40,12,12,
Plumas County,8/4/2020,,,,,
Riverside County,8/4/2020,343,343,15,15,
Sacramento County,8/4/2020,525,503,63,63,
San Benito County,8/4/2020,23,23,,,
San Bernardino County,8/4/2020,427,427,20,,20
San Diego County,8/4/2020,1197,175,44,44,
San Francisco,8/4/2020,2614,1886,91,91,
San Joaquin County,8/4/2020,73,65,,,
San Luis Obispo County,8/4/2020,155,,14,14,
San Mateo County,8/4/2020,161,161,,,
Santa Barbara County,8/4/2020,148,114,,,
Santa Clara County,8/4/2020,674,456,105,12,
Santa Cruz County,8/4/2020,149,132,35,,12
Shasta County,8/4/2020,97,97,,,
Sierra County,8/4/2020,,,,,
Siskiyou County,8/4/2020,,,,,
Solano County,8/4/2020,216,116,,,
Sonoma County,8/4/2020,77,77,24,24,
Stanislaus County,8/4/2020,129,105,,,
Sutter County,8/4/2020,17,17,,,
Tehama County,8/4/2020,,,,,
Trinity County,8/4/2020,,,,,
Tulare County,8/4/2020,113,68,,,
Tuolumne County,8/4/2020,21,21,,,
Ventura County,8/4/2020,331,147,,,
Yolo County,8/4/2020,167,125,,,
Yuba County,8/4/2020,,,,,
Wilton Rancheria Tribe,8/4/2020,,,,,
Bishop Paiute Tribal Council,8/4/2020,,,,,
Alameda County,8/5/2020,833,511,91,91,
Alpine County,8/5/2020,,,,,
Amador County,8/5/2020,,,,,
Butte County,8/5/2020,129,129,,,
Calaveras County,8/5/2020,31,19,,,
Colusa County,8/5/2020,,,,,
Contra Costa County,8/5/2020,566,467,,,
Del Norte County,8/5/2020,28,28,,,
El Dorado County,8/5/2020,46,38,,,
Fresno County,8/5/2020,367,353,28,28,
Glenn County,8/5/2020,,,,,
Humboldt County,8/5/2020,74,49,15,,
Imperial County,8/5/2020,126,119,80,79,
Inyo County,8/5/2020,,,,,
Kern County,8/5/2020,21,21,15,15,
Kings County,8/5/2020,44,44,,,
Lake County,8/5/2020,,,,,
Lassen County,8/5/2020,,,,,
Los Angeles County,8/5/2020,4484,3818,651,651,
Madera County ,8/5/2020,17,17,,,
Marin County ,8/5/2020,182,110,44,,
Mariposa County,8/5/2020,44,,,,
Mendocino County,8/5/2020,120,47,,,
Merced County,8/5/2020,124,35,,,
Modoc County,8/5/2020,,,,,
Mono County,8/5/2020,,,,,
Monterey County,8/5/2020,123,93,108,15,
Napa County ,8/5/2020,111,99,18,12,
Nevada County ,8/5/2020,70,,,,
Orange County,8/5/2020,692,585,78,78,
Placer County,8/5/2020,77,40,12,12,
Plumas County,8/5/2020,,,,,
Riverside County,8/5/2020,350,350,15,15,
Sacramento County,8/5/2020,525,503,63,63,
San Benito County,8/5/2020,23,23,,,
San Bernardino County,8/5/2020,427,427,20,,20
San Diego County,8/5/2020,1327,168,44,44,
San Francisco,8/5/2020,2614,1901,91,91,
