county,date,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered
Mendocino,4/18/2020,128,82,,,
Merced,4/18/2020,,,,,
Mono,4/18/2020,48,,,,
Modoc,4/18/2020,,,,,
Monterey,4/18/2020,,,108,15,
Napa,4/18/2020,104,47,18,,
Nevada,4/18/2020,27,,,,
Orange,4/18/2020,276,31,78,76,
Placer,4/18/2020,15,15,,,
Plumas,4/18/2020,,,,,
Riverside,4/18/2020,422,303,15,15,
Sacramento,4/18/2020,316,63,63,63,
San Benito,4/18/2020,67,37,,,
San Bernardino,4/18/2020,50,37,20,,20
San Diego,4/18/2020,2029,409,45,45,
San Francisco,4/18/2020,1271,710,,,
San Joaquin,4/18/2020,,,,,
San Luis Obispo,4/18/2020,154,,14,14,
San Mateo,4/18/2020,94,94,,,
Santa Barbara,4/18/2020,76,,,,
Santa Clara,4/18/2020,453,234,105,105,
Santa Cruz,4/18/2020,27,19,35,,
Shasta,4/18/2020,20,,,,
Sierra,4/18/2020,,,,,
Siskiyou,4/18/2020,,,,,
Solano,4/18/2020,,,,,
Sonoma,4/18/2020,45,45,,,
Stanislaus,4/18/2020,121,,,,
Sutter,4/18/2020,16,16,,,
Tehama,4/18/2020,,,,,
Trinity,4/18/2020,,,,,
Tulare,4/18/2020,56,,,,
Tuolumne,4/18/2020,,,,,
Ventura,4/18/2020,398,275,,,
Yolo,4/18/2020,246,206,,,
Yuba,4/18/2020,35,18,,,
Alameda,4/19/2020,403,328,91,85,
Alpine,4/19/2020,,,,,
Amador,4/19/2020,,,,,
Butte,4/19/2020,94,94,,,
Calaveras,4/19/2020,20,20,,,
Colusa,4/19/2020,,,,,
Contra Costa,4/19/2020,340,,,,
Del Norte,4/19/2020,,,,,
El Dorado,4/19/2020,,,,,
Fresno,4/19/2020,305,250,28,28,
Glenn,4/19/2020,,,,,
Humboldt,4/19/2020,44,11,15,,
Imperial,4/19/2020,36,,,,
Inyo,4/19/2020,,,,,
Kern,4/19/2020,,,15,15,
Kings,4/19/2020,,,,,
Lake,4/19/2020,,,,,
Lassen,4/19/2020,,,,,
Los Angeles,4/19/2020,3172,830,658,654,
Madera,4/19/2020,,,,,
Marin,4/19/2020,112,72,44,,
Mariposa,4/19/2020,44,,,,
Mendocino,4/19/2020,128,82,,,
Merced,4/19/2020,,,,,
Mono,4/19/2020,48,,,,
Modoc,4/19/2020,,,,,
Monterey,4/19/2020,,,108,15,
Napa,4/19/2020,104,47,18,,
Nevada,4/19/2020,27,,,,
Orange,4/19/2020,276,31,78,76,
Placer,4/19/2020,15,15,,,
Plumas,4/19/2020,,,,,
Riverside,4/19/2020,422,303,15,15,
Sacramento,4/19/2020,316,63,63,63,
San Benito,4/19/2020,67,48,,,
San Bernardino,4/19/2020,50,37,20,,20
San Diego,4/19/2020,2029,409,45,45,
San Francisco,4/19/2020,1273,725,,,
San Joaquin,4/19/2020,,,,,
San Luis Obispo,4/19/2020,154,,14,14,
San Mateo,4/19/2020,94,94,,,
Santa Barbara,4/19/2020,76,,,,
Santa Clara,4/19/2020,453,234,105,105,
Santa Cruz,4/19/2020,27,20,35,,
Shasta,4/19/2020,20,,,,
Sierra,4/19/2020,,,,,
Siskiyou,4/19/2020,,,,,
Solano,4/19/2020,,,,,
Sonoma,4/19/2020,45,45,,,
Stanislaus,4/19/2020,121,,,,
Sutter,4/19/2020,16,16,,,
Tehama,4/19/2020,,,,,
Trinity,4/19/2020,,,,,
Tulare,4/19/2020,56,,,,
Tuolumne,4/19/2020,,,,,
Ventura,4/19/2020,398,275,,,
Yolo,4/19/2020,246,206,,,
Yuba,4/19/2020,35,18,,,
Alameda,4/20/2020,403,328,91,91,
Alpine,4/20/2020,,,,,
Amador,4/20/2020,,,,,
Butte,4/20/2020,82,82,,,
Calaveras,4/20/2020,20,20,,,
Colusa,4/20/2020,,,,,
Contra Costa,4/20/2020,340,,,,
Del Norte,4/20/2020,,,,,
El Dorado,4/20/2020,,,,,
Fresno,4/20/2020,305,250,28,28,
Glenn,4/20/2020,,,,,
Humboldt,4/20/2020,44,11,15,,
Imperial,4/20/2020,36,,,,
Inyo,4/20/2020,,,,,
Kern,4/20/2020,,,15,15,
Kings,4/20/2020,,,,,
Lake,4/20/2020,,,,,
Lassen,4/20/2020,,,,,
Los Angeles,4/20/2020,3172,888,658,647,
Madera,4/20/2020,,,,,
Marin,4/20/2020,112,73,44,,
Mariposa,4/20/2020,44,13,,,
Mendocino,4/20/2020,134,95,,,
Merced,4/20/2020,,,,,
Mono,4/20/2020,48,,,,
Modoc,4/20/2020,,,,,
Monterey,4/20/2020,,,108,15,
Napa,4/20/2020,104,48,18,,
Nevada,4/20/2020,27,,,,
Orange,4/20/2020,276,31,78,78,
Placer,4/20/2020,15,15,,,
Plumas,4/20/2020,,,,,
Riverside,4/20/2020,422,303,15,15,
Sacramento,4/20/2020,316,63,63,63,
San Benito,4/20/2020,67,41,,,
San Bernardino,4/20/2020,50,37,20,,20
San Diego,4/20/2020,2029,409,45,44,
San Francisco,4/20/2020,1273,718,,,
San Joaquin,4/20/2020,,,,,
San Luis Obispo,4/20/2020,154,,14,14,
San Mateo,4/20/2020,94,64,,,
Santa Barbara,4/20/2020,85,,,,
Santa Clara,4/20/2020,453,234,105,105,
Santa Cruz,4/20/2020,27,20,35,,
Shasta,4/20/2020,20,,,,
Sierra,4/20/2020,,,,,
Siskiyou,4/20/2020,,,,,
Solano,4/20/2020,,,,,
Sonoma,4/20/2020,45,45,,,
Stanislaus,4/20/2020,121,,,,
Sutter,4/20/2020,16,16,,,
Tehama,4/20/2020,,,,,
Trinity,4/20/2020,,,,,
Tulare,4/20/2020,56,,,,
Tuolumne,4/20/2020,,,,,
Ventura,4/20/2020,398,275,,,
Yolo,4/20/2020,246,206,,,
Yuba,4/20/2020,35,18,,,
Alameda,4/21/2020,403,346,91,91,
Alpine ,4/21/2020,,,,,
Amador,4/21/2020,,,,,
Butte,4/21/2020,82,82,,,
Calaveras,4/21/2020,20,20,,,
Colusa,4/21/2020,,,,,
Contra Costa,4/21/2020,340,,,,
Del Norte,4/21/2020,,,,,
El Dorado,4/21/2020,,,,,
Fresno,4/21/2020,305,250,28,28,
Glenn ,4/21/2020,,,,,
Humboldt,4/21/2020,44,11,15,,
Imperial,4/21/2020,36,,37,,
Inyo,4/21/2020,,,,,
Kern,4/21/2020,,,15,15,
Kings,4/21/2020,,,,,
Lake ,4/21/2020,,,,,
Lassen,4/21/2020,,,,,
Los Angeles,4/21/2020,3292,939,658,647,
Madera,4/21/2020,,,,,
Marin ,4/21/2020,112,73,44,,
Mariposa,4/21/2020,44,13,,,
Mendocino,4/21/2020,140,101,,,
Merced,4/21/2020,,,,,
Modoc,4/21/2020,,,,,
Mono ,4/21/2020,48,,,,
Monterey,4/21/2020,,,108,15,
Napa,4/21/2020,104,48,18,,
Nevada,4/21/2020,27,,,,
Orange,4/21/2020,276,31,78,78,
Placer,4/21/2020,32,32,12,,
Plumas,4/21/2020,,,,,
Riverside,4/21/2020,422,303,15,15,
Sacramento,4/21/2020,316,63,63,63,
San Benito,4/21/2020,67,41,,,
San Bernardino,4/21/2020,50,37,20,,20
San Diego,4/21/2020,2029,409,44,44,
San Francisco,4/21/2020,1273,737,,,
