age_group,totalpositive,date,case_percent,deaths,deaths_percent,ca_percent
18-49,564094,11/4/2020,59.7,1292,7.2,43.5
50-64,178172,11/4/2020,18.9,3391,19,18.4
65+,100004,11/4/2020,10.6,13147,73.7,15.6
Missing,876,11/4/2020,0.1,1,0,0
0-17,102277,11/5/2020,10.8,2,0,22.5
18-49,567927,11/5/2020,59.7,1298,7.3,43.5
50-64,179365,11/5/2020,18.9,3409,19,18.4
65+,100643,11/5/2020,10.6,13188,73.7,15.6
Missing,882,11/5/2020,0.1,1,0,0
0-17,102996,11/6/2020,10.8,2,0,22.5
18-49,571373,11/6/2020,59.7,1300,7.2,43.5
50-64,180424,11/6/2020,18.9,3421,19.1,18.4
65+,101279,11/6/2020,10.6,13220,73.7,15.6
Missing,885,11/6/2020,0.1,1,0,0
0-17,103975,11/7/2020,10.8,2,0,22.5
18-49,576051,11/7/2020,59.7,1303,7.2,43.5
50-64,181808,11/7/2020,18.8,3439,19.1,18.4
65+,101922,11/7/2020,10.6,13272,73.7,15.6
Missing,883,11/7/2020,0.1,1,0,0
0-17,105005,11/8/2020,10.8,2,0,22.5
18-49,580281,11/8/2020,59.7,1303,7.2,43.5
50-64,183085,11/8/2020,18.8,3438,19.1,18.4
65+,102592,11/8/2020,10.6,13275,73.7,15.6
Missing,888,11/8/2020,0.1,1,0,0
0-17,105792,11/9/2020,10.8,2,0,22.5
18-49,583469,11/9/2020,59.7,1303,7.2,43.5
50-64,184005,11/9/2020,18.8,3440,19.1,18.4
65+,103063,11/9/2020,10.5,13281,73.7,15.6
Missing,889,11/9/2020,0.1,1,0,0
0-17,106693,11/10/2020,10.8,2,0,22.5
18-49,588029,11/10/2020,59.7,1308,7.2,43.5
50-64,185315,11/10/2020,18.8,3453,19.1,18.4
65+,103745,11/10/2020,10.5,13330,73.7,15.6
Missing,900,11/10/2020,0.1,1,0,0
0-17,107582,11/11/2020,10.8,2,0,22.5
18-49,592114,11/11/2020,59.7,1312,7.2,43.5
50-64,186603,11/11/2020,18.8,3463,19.1,18.4
65+,104403,11/11/2020,10.5,13359,73.7,15.6
Missing,907,11/11/2020,0.1,1,0,0
0-17,108445,11/12/2020,10.9,2,0,22.5
18-49,596237,11/12/2020,59.7,1315,7.2,43.5
50-64,187873,11/12/2020,18.8,3470,19.1,18.4
65+,105031,11/12/2020,10.5,13375,73.6,15.6
Missing,916,11/12/2020,0.1,1,0,0
0-17,109636,11/13/2020,10.9,2,0,22.5
18-49,602180,11/13/2020,59.7,1321,7.2,43.5
50-64,189615,11/13/2020,18.8,3487,19.1,18.4
65+,106013,11/13/2020,10.5,13426,73.6,15.6
Missing,933,11/13/2020,0.1,1,0,0
0-17,111029,11/14/2020,10.9,2,0,22.5
18-49,608738,11/14/2020,59.7,1325,7.2,43.5
50-64,191565,11/14/2020,18.8,3498,19.1,18.4
65+,107074,11/14/2020,10.5,13476,73.6,15.6
Missing,939,11/14/2020,0.1,1,0,0
