"Total Estimated and Projected Population of California by Age: July 1, 2010 to July 1, 2060 in 1-year Increments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Estimates,,,,,,,,,,Projections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Age (0-100+),"37,367,579","37,729,544","38,101,155","38,410,053","38,742,595","39,055,383","39,308,636","39,590,613","39,817,785","39,959,095","40,129,160","40,311,230","40,507,293","40,716,512","40,938,929","41,176,614","41,405,901","41,629,615","41,847,285","42,058,192","42,263,654","42,461,647","42,654,978","42,841,669","43,021,656","43,195,083","43,360,813","43,519,832","43,669,966","43,812,425","43,946,643","44,072,690","44,191,353","44,301,823","44,403,234","44,497,568","44,583,707","44,661,842","44,733,261","44,797,918","44,856,461","44,909,335","44,958,356","45,005,009","45,048,839","45,091,810","45,132,424","45,172,615","45,214,116","45,256,227","45,299,375"
45,"536,346","507,377","505,057","510,818","525,115","552,670","527,810","499,896","487,180","480,754","492,937","480,048","484,540","490,689","502,337","533,145","535,270","539,798","539,640","532,235","530,117","521,199","514,172","509,535","511,191","519,848","529,500","549,562","570,446","568,924","571,016","570,590","567,299","561,953","566,024","571,743","568,363","568,194","580,632","589,556","604,682","616,250","626,306","614,748","595,147","591,502","601,958","590,997","588,136","577,546","575,577"
46,"540,377","534,519","504,956","502,498","508,405","521,800","548,810","524,636","495,946","482,365","476,058","488,649","476,215","480,842","487,168","499,335","529,914","531,292","536,068","536,164","528,530","526,413","517,322","510,389","505,636","507,463","516,160","525,838","545,930","566,601","565,602","567,577","567,669","564,327","559,389","563,200","569,284","566,202","565,513","577,817","586,432","601,413","612,905","622,738","610,264","591,542","587,785","597,577","586,688","584,100","573,307"
47,"538,055","538,154","532,256","502,394","499,251","505,873","519,660","547,183","522,448","492,474","479,188","473,219","485,637","473,580","478,484","484,953","497,402","527,588","529,428","533,328","533,809","526,171","524,440","515,332","508,416","503,776","505,710","514,220","523,929","543,623","564,646","563,536","565,652","565,534","562,288","557,474","561,072","567,361","564,879","563,624","576,251","585,275","599,446","610,860","620,579","607,570","589,593","585,902","595,099","584,820","582,564"
48,"532,535","535,955","535,467","529,388","499,955","496,686","503,293","517,750","544,553","518,809","489,069","476,317","470,516","483,063","471,322","476,143","482,624","495,029","525,132","527,422","530,824","531,685","523,670","522,189","513,354","506,306","501,615","503,331","511,812","521,929","541,290","562,971","561,447","563,324","563,146","560,167","555,159","558,163","564,870","563,184","561,337","573,694","582,992","596,909","608,738","618,081","604,449","586,894","583,443","592,567","582,610"
49,"536,128","529,891","533,314","531,720","525,724","496,599","493,218","499,618","514,163","539,608","514,780","484,999","472,971","467,062","479,744","468,707","473,230","480,153","491,978","522,160","524,743","527,581","528,878","520,887","519,481","510,251","503,694","498,898","500,755","509,249","518,777","538,063","559,630","558,431","560,233","560,026","557,139","552,107","555,132","561,613","560,167","557,974","570,849","580,422","593,977","605,893","615,227","601,899","584,551","580,985","589,559"
50,"547,125","534,689","528,056","530,772","529,508","524,434","494,823","491,065","497,144","510,769","536,961","512,391","482,770","471,397","465,575","478,138","467,302","472,259","478,933","490,658","520,805","523,635","526,349","527,551","519,504","518,427","508,907","502,940","497,718","499,634","507,939","517,144","536,196","557,968","556,606","558,288","558,123","555,396","549,730","552,773","559,580","558,309","556,041","568,899","579,286","592,765","604,784","614,114","600,902","583,073","579,713"
51,"519,550","547,110","535,302","527,612","530,187","529,274","523,075","493,408","489,231","494,372","508,359","535,085","510,693","481,403","470,636","465,072","477,806","466,668","471,721","478,451","490,138","520,218","522,769","525,287","526,708","518,720","517,687","508,290","502,788","497,547","499,093","507,927","517,031","536,060","558,165","557,008","558,793","558,501","556,092","550,609","553,885","560,671","559,666","556,430","569,818","580,072","593,230","605,249","614,083","600,914","583,259"
52,"514,305","516,212","543,084","530,634","523,159","526,229","524,585","518,083","488,539","483,840","489,397","503,482","530,427","506,361","477,086","466,993","461,119","473,949","462,258","467,781","474,173","486,048","515,833","518,589","521,136","522,320","514,278","513,557","504,326","498,419","493,772","495,026","503,850","512,941","531,993","553,941","552,655","554,063","553,915","551,718","546,858","549,707","556,580","555,943","552,607","565,782","576,205","588,738","600,487","609,661","596,646"
53,"502,419","510,852","512,616","539,771","527,569","520,754","523,013","521,751","514,742","484,292","480,257","485,705","499,705","527,068","503,418","474,475","464,080","458,303","471,403","459,288","465,102","471,030","483,031","512,718","515,192","518,155","519,382","511,332","510,340","501,083","495,608","490,971","492,296","501,380","510,000","529,392","551,012","549,983","551,014","550,821","548,689","543,706","546,798","553,929","553,071","549,719","562,997","573,608","586,021","597,418","606,479"
54,"492,498","499,849","508,578","509,750","537,062","524,974","517,542","520,209","518,460","510,739","480,545","476,687","482,839","496,883","524,337","500,629","471,964","461,891","456,050","469,264","457,032","462,910","468,752","480,749","510,474","512,770","515,950","516,798","508,736","507,954","498,568","493,297","488,766","489,767","499,007","507,153","526,883","548,654","547,633","548,451","548,093","546,044","540,572","544,402","551,432","550,379","547,285","560,702","571,311","583,670","594,773"
